City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,tralee,52.2704,-9.7026,14.14,47,0,5.89,IE,1682013600
133,imperatriz,-5.5264,-47.4917,32.03,74,75,1.27,BR,1682013600
134,oranjemund,-28.55,16.4333,14.47,90,87,6.8,NA,1682013600
135,madera,37.1666,-119.8343,15.63,47,15,2.1,US,1682013600
136,ambalangoda,6.2355,80.0538,27.91,76,91,2.08,LK,1682013600
137,east london,-33.0153,27.9116,19.52,77,20,10.3,ZA,1682013600
138,ilulissat,69.2167,-51.1,-2.99,54,20,2.63,GL,1682013600
139,west island,-12.1568,96.8225,27.29,83,75,8.33,CC,1682013600
140,kingston,17.997,-76.7936,29.94,76,10,2.92,JM,1682013600
141,guiglo,6.5456,-7.4966,29.2,62,92,2.1,CI,1682013600
142,sisimiut,66.9395,-53.6735,-0.43,67,93,1.85,GL,1682013600
143,urengoy,65.9667,78.3667,-11.44,98,77,2.4,RU,1682013600
144,rongelap,11.1635,166.8941,25.25,87,100,5.28,MH,1682013600
145,remire-montjoly,4.9167,-52.2667,29.02,74,75,3.99,GF,1682013600
146,katabu,-4.9333,122.5167,23.91,95,100,1.32,ID,1682013600
147,al faw,29.9776,48.4741,31.0,30,0,3.61,IQ,1682013600
148,shetpe,44.1667,52.1167,17.77,13,92,9.15,KZ,1682013600
149,inarajan village,13.2736,144.7484,26.65,82,20,6.91,GU,1682013600
150,bilibino,68.0546,166.4372,-11.62,88,14,1.86,RU,1682013600
151,kidal,18.4411,1.4078,35.64,8,2,1.35,ML,1682013600
152,huilong,31.8111,121.655,13.9,93,17,3.84,CN,1682013600
153,alagir,43.0422,44.2222,13.99,84,81,2.01,RU,1682013600
154,smithers,54.7804,-127.1743,5.73,80,40,2.8,CA,1682013600
155,lazaro cardenas,17.9583,-102.2,29.31,59,27,4.67,MX,1682013600
156,saldanha,-33.0117,17.9442,15.03,71,56,6.79,ZA,1682013600
157,tura,25.5198,90.2201,24.66,62,4,4.94,IN,1682013600
158,spring creek,40.7266,-115.5859,3.29,38,47,3.39,US,1682013600
159,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,93,75,1.29,RU,1682013600
160,saipan,15.1355,145.701,26.79,100,100,8.84,MP,1682013600
161,tadmur,34.5608,38.2805,17.41,39,0,7.9,SY,1682013600
162,fair oaks ranch,29.7458,-98.6434,26.91,77,89,5.72,US,1682013600
163,hamilton,39.1834,-84.5333,25.45,39,99,5.97,US,1682013600
164,howrah,22.5892,88.3103,31.0,84,40,3.89,IN,1682013600
165,kone,-21.0595,164.8658,21.49,90,5,0.66,NC,1682013600
166,bredasdorp,-34.5322,20.0403,13.1,68,66,6.0,ZA,1682013600
167,horta,38.5333,-28.6333,15.57,70,40,10.76,PT,1682013600
168,jamestown,42.097,-79.2353,22.76,42,0,4.59,US,1682013600
169,rabo de peixe,37.8,-25.5833,15.73,63,40,9.04,PT,1682013600
170,hobyo,5.3505,48.5268,28.96,64,18,6.03,SO,1682013600
171,naze,28.3667,129.4833,20.51,94,100,0.77,JP,1682013600
172,nadym,65.5333,72.5167,-2.36,95,100,4.03,RU,1682013600
173,saint-louis,16.3333,-15.0,39.8,12,11,8.12,SN,1682013600
174,dakhla,23.6848,-15.958,22.01,64,0,5.77,EH,1682013600
175,yelizovo,53.1873,158.3805,0.06,92,75,0.66,RU,1682013600
176,carandai,-20.9536,-43.8064,22.02,56,3,4.01,BR,1682013600
177,porto novo,6.4965,2.6036,30.9,75,80,5.25,BJ,1682013600
178,pasco,28.292,-82.4165,30.14,46,1,5.75,US,1682013600
179,strathfieldsaye,-36.8,144.3667,10.11,54,6,2.44,AU,1682013600
180,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,3.14,EC,1682013600
181,country club,25.9482,-80.317,27.56,60,40,5.97,US,1682013600
182,forecariah,9.4306,-13.0881,30.97,56,78,4.42,GN,1682013600
183,port sudan,19.6175,37.2164,26.99,73,36,2.46,SD,1682013600
184,susuman,62.7833,148.1667,-10.24,94,100,2.32,RU,1682013600
185,ilebo,-4.3167,20.5833,23.96,83,53,0.86,CD,1682013600
186,vila franca do campo,37.7167,-25.4333,16.23,65,14,7.82,PT,1682013600
187,katsuura,35.1333,140.3,17.29,86,68,6.76,JP,1682013600
188,san patricio,28.017,-97.5169,28.11,66,85,8.67,US,1682013600
189,tazovsky,67.4667,78.7,-13.87,99,71,2.78,RU,1682013600
190,colonia,50.9333,6.95,12.4,44,20,3.82,DE,1682013600
191,mana,5.6592,-53.7767,27.34,81,93,4.62,GF,1682013600
192,choibalsan,48.0667,114.5,-5.11,30,17,2.31,MN,1682013600
193,cova figueira,14.8905,-24.2934,20.95,76,78,9.45,CV,1682013600
194,hermanus,-34.4187,19.2345,14.33,68,65,7.2,ZA,1682013600
195,uddevalla,58.3478,11.9424,13.14,47,23,1.82,SE,1682013600
196,vinita,36.6387,-95.1541,19.82,62,83,5.49,US,1682013600
197,vallenar,-28.5708,-70.7581,23.05,41,100,2.88,CL,1682013600
198,phan rang-thap cham,11.5667,108.9833,25.69,89,94,2.03,VN,1682013600
199,red oak,32.5176,-96.8044,26.47,69,75,7.54,US,1682013600
200,toliara,-23.35,43.6667,24.62,79,28,1.51,MG,1682013600
201,trujillo,-8.116,-79.03,25.98,69,40,3.18,PE,1682013600
202,rondonopolis,-16.4708,-54.6356,28.64,39,28,3.43,BR,1682013600
203,suances,43.4334,-4.0434,16.2,80,20,1.01,ES,1682013600
204,kaiyuan,23.6977,103.3037,22.04,32,0,2.18,CN,1682013600
205,hammerfest,70.6634,23.6821,5.25,87,75,11.63,NO,1682013600
206,kapuskasing,49.4169,-82.4331,2.86,44,75,2.39,CA,1682013600
207,nantucket,41.2835,-70.0995,10.41,48,0,1.51,US,1682013600
208,zavetnoye,47.1194,43.8903,13.69,31,100,7.0,RU,1682013600
209,nuku'alofa,-21.1333,-175.2,25.84,78,20,11.28,TO,1682013600
210,shpola,49.0069,31.3947,7.19,92,100,6.69,UA,1682013600
211,date,42.4681,140.8681,7.37,63,63,5.96,JP,1682013600
212,pasighat,28.0667,95.3333,22.85,74,78,3.56,IN,1682013600
213,vorkuta,67.5,64.0,-2.41,98,99,3.27,RU,1682013600
214,saacow,1.6279,42.4407,29.03,65,94,3.98,SO,1682013600
215,puno,-15.8333,-70.0333,11.88,53,100,2.06,PE,1682013600
216,neryungri,56.6709,124.6491,-7.14,90,99,5.82,RU,1682013600
217,leava,-14.3,-178.1667,27.86,78,27,4.44,WF,1682013600
218,alpine,32.835,-116.7664,21.94,44,0,0.9,US,1682013600
219,belmonte,-15.8631,-38.8828,29.51,76,18,5.48,BR,1682013600
220,okha,53.5739,142.9478,-0.94,82,100,7.34,RU,1682013600
221,port macquarie,-31.4333,152.9167,17.91,81,97,6.76,AU,1682013600
222,mejit,10.2753,170.8646,26.46,82,98,7.67,MH,1682013600
223,haiku-pauwela,20.9219,-156.3051,22.78,83,100,1.52,US,1682013600
224,miyaly,48.8844,53.7836,11.93,32,75,4.56,KZ,1682013600
225,pacocha,-17.5833,-71.3333,23.08,78,0,1.97,PE,1682013600
226,ebon,4.582,168.6964,28.04,75,82,4.3,MH,1682013600
227,green river,41.5286,-109.4662,2.33,46,87,9.1,US,1682013600
228,hinton,53.4001,-117.5857,4.15,65,99,3.54,CA,1682013600
229,ola,59.5833,151.2833,1.75,82,100,10.05,RU,1682013600
230,thompson,55.7435,-97.8558,-1.02,64,75,4.41,CA,1682013600
231,nar'yan-mar,67.6713,53.087,-3.47,95,98,3.51,RU,1682013600
232,beni mellal,32.3373,-6.3498,23.79,46,40,3.47,MA,1682013600
233,cidreira,-30.1811,-50.2056,20.11,51,9,6.7,BR,1682013600
234,mount gambier,-37.8333,140.7667,12.61,96,89,1.47,AU,1682013600
235,aginskoye,51.1,114.53,-8.68,48,1,7.16,RU,1682013600
236,ketchikan,55.3422,-131.6461,7.82,81,20,3.73,US,1682013600
237,oroqen zizhiqi,50.5667,123.7167,-2.26,78,99,5.38,CN,1682013600
238,praia,14.9215,-23.5087,25.3,57,75,8.52,CV,1682013600
239,lompoc,34.6391,-120.4579,18.86,50,40,6.56,US,1682013600
240,san antonio de pale,-1.4014,5.6325,27.42,79,87,5.07,GQ,1682013600
241,mont-laurier,46.5501,-75.4993,7.82,46,42,2.53,CA,1682013600
242,kapoeta,4.7717,33.5903,31.53,36,94,4.46,SS,1682013600
243,sao joao da barra,-21.6403,-41.0511,28.05,67,84,8.86,BR,1682013600
244,ancud,-41.8697,-73.8203,13.24,85,100,2.72,CL,1682013600
245,panama city beach,30.1766,-85.8055,25.98,63,0,6.52,US,1682013600
